seed,policy,round,observed,stable_found,precision,pool_stable_prevalence,discovery_acceleration_factor,stable_recall
13,random,0,400,252,0.63,0.56148,1.1220346227826459,0.017952553964522333
13,random,1,650,389,0.5984615384615385,0.56148,1.0658643913612924,0.027712474175393603
13,random,2,900,529,0.5877777777777777,0.56148,1.0468365351887472,0.0376861152667949
13,random,3,1150,674,0.5860869565217391,0.56148,1.0438251701249184,0.04801595782574624
13,random,4,1400,810,0.5785714285714286,0.56148,1.0304399596983485,0.0577046377431075
13,random,5,1650,944,0.5721212121212121,0.56148,1.0189520768704357,0.06725083707344874
13,random,6,1900,1087,0.5721052631578948,0.56148,1.0189236716497378,0.07743819904538006
13,random,7,2150,1238,0.575813953488372,0.56148,1.0255288763417612,0.08819548336539147
13,random,8,2400,1372,0.5716666666666667,0.56148,1.018142528080549,0.0977416826957327
13,uncertainty,0,400,252,0.63,0.56148,1.1220346227826459,0.017952553964522333
13,uncertainty,1,650,391,0.6015384615384616,0.56148,1.0713444139389856,0.02785495476241362
13,uncertainty,2,900,530,0.5888888888888889,0.56148,1.048815432230692,0.037757355560304906
13,uncertainty,3,1150,659,0.5730434782608695,0.56148,1.020594639632524,0.046947353423096104
13,uncertainty,4,1400,779,0.5564285714285714,0.56148,0.9910033686481645,0.055496188644297215
13,uncertainty,5,1650,895,0.5424242424242425,0.56148,0.9660615559311864,0.06376006269145829
13,uncertainty,6,1900,1034,0.5442105263157895,0.56148,0.9692429406493366,0.07366246348934957
13,uncertainty,7,2150,1163,0.5409302325581395,0.56148,0.9634007133969857,0.08285246135214078
13,uncertainty,8,2400,1292,0.5383333333333333,0.56148,0.958775616822208,0.09204245921493197
13,greedy,0,400,252,0.63,0.56148,1.1220346227826459,0.017952553964522333
13,greedy,1,650,407,0.6261538461538462,0.56148,1.1151845945605297,0.02899479945857377
13,greedy,2,900,622,0.6911111111111111,0.56148,1.2308739600896046,0.04431146256322576
13,greedy,3,1150,827,0.7191304347826087,0.56148,1.2807765811473406,0.05891572273277766
13,greedy,4,1400,1034,0.7385714285714285,0.56148,1.3154011337383853,0.07366246348934957
13,greedy,5,1650,1254,0.76,0.56148,1.353565576690176,0.08933532806155162
13,greedy,6,1900,1470,0.7736842105263158,0.56148,1.3779372560488634,0.10472323145971361
13,greedy,7,2150,1680,0.7813953488372093,0.56148,1.3916708499629717,0.11968369309681556
13,greedy,8,2400,1899,0.79125,0.56148,1.4092220559948707,0.13528531737550759
13,ucb,0,400,252,0.63,0.56148,1.1220346227826459,0.017952553964522333
13,ucb,1,650,410,0.6307692307692307,0.56148,1.1234046284270691,0.0292085203391038
13,ucb,2,900,623,0.6922222222222222,0.56148,1.2328528571315491,0.04438270285673577
13,ucb,3,1150,825,0.717391304347826,0.56148,1.2776791770816878,0.05877324214575764
13,ucb,4,1400,1040,0.7428571428571429,0.56148,1.3230340223287436,0.07408990525040964
13,ucb,5,1650,1252,0.7587878787878788,0.56148,1.3514067799171454,0.0891928474745316
13,ucb,6,1900,1467,0.7721052631578947,0.56148,1.375125139199784,0.10450951057918359
13,ucb,7,2150,1671,0.7772093023255814,0.56148,1.3842154704095986,0.11904253045522548
13,ucb,8,2400,1882,0.7841666666666667,0.56148,1.3966065873524733,0.13407423238583743
13,diverse_ucb,0,400,252,0.63,0.56148,1.1220346227826459,0.017952553964522333
13,diverse_ucb,1,650,409,0.6292307692307693,0.56148,1.1206646171382226,0.029137280045593787
13,diverse_ucb,2,900,612,0.68,0.56148,1.2110849896701577,0.043599059628125665
13,diverse_ucb,3,1150,819,0.7121739130434782,0.56148,1.2683869648847301,0.05834580038469758
13,diverse_ucb,4,1400,1031,0.7364285714285714,0.56148,1.3115846894432064,0.07344874260881955
13,diverse_ucb,5,1650,1260,0.7636363636363637,0.56148,1.3600419670092678,0.08976276982261167
13,diverse_ucb,6,1900,1474,0.7757894736842105,0.56148,1.3816867451809691,0.10500819263375365
13,diverse_ucb,7,2150,1686,0.7841860465116279,0.56148,1.3966411029985537,0.12011113485787561
13,diverse_ucb,8,2400,1904,0.7933333333333333,0.56148,1.412932487948517,0.13564151884305764
29,random,0,400,212,0.53,0.56968,0.9303468613958714,0.014885549782333942
29,random,1,650,353,0.5430769230769231,0.56968,0.9533017186436652,0.02478584468473529
